"go_description","NES","pval","padj"
"RNA 3'-end processing",-2.28409768567128,4.29022575027659e-08,8.05067362381447e-07
"regulation of calcium ion transport",2.04844187449939,4.72526920399462e-08,8.80036978819149e-07
"RNA modification",-2.06107130154393,5.01721737178172e-08,9.2743637536592e-07
"calcium ion homeostasis",1.9331884589665,5.30316817891372e-08,9.73033154012541e-07
"response to calcium ion",2.1172143429495,6.76700467603047e-08,1.23249048400937e-06
"muscle organ morphogenesis",2.19352391763257,6.93631154214521e-08,1.2527146304182e-06
"positive regulation of monoatomic ion transport",2.08182913072854,6.97919333862383e-08,1.2527146304182e-06
"positive regulation of cell cycle G2/M phase transition",-2.48476333692634,9.51727096107586e-08,1.69599137917877e-06
"mitotic cytokinesis",-2.19204287152431,1.06004425070191e-07,1.8755211492776e-06
"endosomal transport",1.85273759576336,1.07743333211664e-07,1.89276763379639e-06
"regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum",2.38824524398494,1.10946652139177e-07,1.92178221922196e-06
"negative regulation of organelle organization",-1.8067900891173,1.10648086670999e-07,1.92178221922196e-06
"mRNA catabolic process",-1.85329602606942,1.1543888404362e-07,1.98570913733365e-06
"release of sequestered calcium ion into cytosol by endoplasmic reticulum",2.37300166754034,1.30049790444937e-07,2.21515405450248e-06
"heart morphogenesis",1.90062003252124,1.30566205877013e-07,2.21515405450248e-06
"positive regulation of DNA biosynthetic process",-2.39073881023804,1.3445011276879e-07,2.24154979757272e-06
"sarcoplasmic reticulum calcium ion transport",2.3311134335809,1.34836867112772e-07,2.24154979757272e-06
"cardiac muscle cell contraction",2.24130692996233,1.33120229382771e-07,2.24154979757272e-06
"homologous chromosome segregation",-2.37615177744016,1.48087681583644e-07,2.44542124855124e-06
"regulation of cardiac muscle contraction by calcium ion signaling",2.37818842281746,1.49152959261966e-07,2.44670119266152e-06
"cell cycle G1/S phase transition",-1.93290905315666,1.62583036659291e-07,2.64946172240174e-06
"regulation of DNA recombination",-2.14214632362369,2.07978887943945e-07,3.34521886647502e-06
"regulation of mRNA processing",-2.07314718301323,2.06845850957744e-07,3.34521886647502e-06
"RNA methylation",-2.24732325183901,2.16026453252624e-07,3.45224209488225e-06
"negative regulation of mRNA metabolic process",-2.12611601041347,2.46979927925404e-07,3.92159795814889e-06
"calcium ion transmembrane transport",1.8743268371403,2.64766989725145e-07,4.17724734744704e-06
"mitotic spindle assembly",-2.2698491945845,2.93272084749992e-07,4.59768958180842e-06
"regulation of heart rate",2.17477599926512,3.21426013502909e-07,4.9760764715419e-06
"nuclear-transcribed mRNA catabolic process",-2.04336195958945,3.20776146743064e-07,4.9760764715419e-06
"regulation of actin filament-based process",1.77813015883337,3.2723943816737e-07,5.0346092443514e-06
"negative regulation of cell cycle G2/M phase transition",-2.22022751730377,3.49735417689342e-07,5.31469097924233e-06
"muscle adaptation",2.10686041293619,3.47978045379783e-07,5.31469097924233e-06
"spliceosomal complex assembly",-2.24461442330892,3.64668000067114e-07,5.50782095223318e-06
"regulation of membrane potential",1.7426732819016,3.72090471101693e-07,5.5858672540539e-06
"regulation of transmembrane transport",1.80009026939575,4.29560772150647e-07,6.40977128082622e-06
"nucleosome organization",-2.23313728479849,4.35868874536987e-07,6.46495330675519e-06
"cell communication involved in cardiac conduction",2.23001431835917,4.46154105295969e-07,6.57811737391735e-06
"nucleobase-containing compound transport",-1.93709073061697,4.58463463126342e-07,6.71960945659142e-06
"mRNA export from nucleus",-2.24765234358145,4.7556999535237e-07,6.92933457934012e-06
"homologous recombination",-2.19395095205619,4.8101213781829e-07,6.96764365716903e-06
