"go_description","NES","pval","padj"
"cardiac muscle tissue morphogenesis",2.56602256198114,2.17929206476927e-11,5.51939071914013e-10
"regulation of sister chromatid segregation",-2.47958000233724,2.53656465875014e-11,6.35934695254329e-10
"proton motive force-driven ATP synthesis",2.54177941574368,3.74382756101165e-11,9.29218000643092e-10
"ATP metabolic process",2.2361995029037,5.1037454150704e-11,1.25420753665393e-09
"kinetochore organization",-2.77953278711697,5.85784035412027e-11,1.4254078195026e-09
"regulation of mRNA metabolic process",-2.0208107533604,7.48193125865767e-11,1.80292751300858e-09
"DNA strand elongation",-2.75049874758848,8.38197372815964e-11,2.00039026858579e-09
"maturation of SSU-rRNA",-2.60996848834649,8.74743790831452e-11,2.06772770366063e-09
"regulation of DNA biosynthetic process",-2.55934570877064,8.92587281114037e-11,2.09000153936325e-09
"macromolecule methylation",-2.36845731746109,1.22343368487725e-10,2.83790879052835e-09
"muscle organ morphogenesis",2.49339486867458,1.6367413731817e-10,3.76147415577497e-09
"actin filament organization",1.94534766871306,2.31516865295846e-10,5.27178770334212e-09
"RNA export from nucleus",-2.48730010088366,2.45972524822107e-10,5.55003460553154e-09
"negative regulation of cell cycle G2/M phase transition",-2.53663447473464,2.51049456140067e-10,5.61355630756439e-09
"spliceosomal tri-snRNP complex assembly",-2.67217271512378,2.77463016662741e-10,6.14877863711538e-09
"ATP biosynthetic process",2.45933489689697,2.80076634098303e-10,6.15177173302645e-09
"positive regulation of DNA biosynthetic process",-2.70110675058759,2.84532792884946e-10,6.1948279994775e-09
"mRNA transport",-2.36864611608632,2.94848652482834e-10,6.36360309097734e-09
"ATP synthesis coupled electron transport",2.44321631431681,3.27983627546394e-10,7.01771865146682e-09
"mitotic G2/M transition checkpoint",-2.5995991853255,4.20342673451633e-10,8.84144504666908e-09
"ribosomal large subunit biogenesis",-2.4705910761999,4.18322578793312e-10,8.84144504666908e-09
"oxidative phosphorylation",2.34929469166601,4.76753624850032e-10,9.94371846115781e-09
"mismatch repair",-2.71905125367895,5.1317459418648e-10,1.05420703181629e-08
"telomere maintenance via telomere lengthening",-2.53754628771491,5.13936546534131e-10,1.05420703181629e-08
"nuclear export",-2.19771566201175,5.29275124585361e-10,1.07677119608268e-08
"meiotic chromosome segregation",-2.49515174950081,7.26012933888841e-10,1.46501146496919e-08
